Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time,total_video_min
Malabar 1 ,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 1 ,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 1 ,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 1 ,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 1 ,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 2,1,Dome,Fish,1,Sydney,Atypichthys strigatus,Planktivore,0,0,0,5,4.05295866,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.2,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,5,4.05295866,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.1,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.2,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.25,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.05,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,3,2.431775196,0.4,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.4,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.3,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.05,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.03,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.3,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Hypoplectrodes nigroruber,Piscivore,0,0,0,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Hypoplectrodes nigroruber,Piscivore,1,0.810591732,0.4,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.15,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,0,0,0,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Pomacentrus chrysurus,Herbivore,0,0,0,0,0,0,74.02
Malabar 2,1,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,2,1.618122977,0.29,0,0,0,74.16
Malabar 2,1,Dome,Fish,2,Sydney,Meuschenia trachylepis,Omnivore,0,0,0,1,0.809061489,0.05,74.16
Malabar 2,1,Dome,Fish,2,Sydney,Bathytoshia lata ,Piscivore,0,0,0,1,0.809061489,0.1,74.16
Malabar 2,1,Dome,Fish,2,Sydney,Meuschenia trachylepis,Omnivore,0,0,0,1,0.809061489,0.37,74.16
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,1.422475107,0.1,0,0,0,42.18
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,1,1.422475107,0.05,42.18
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,1.422475107,0.1,0,0,0,42.18
Malabar 2,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,44.28
Malabar 2,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 2,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 2,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 2,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 2,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 2,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,0,0,0,
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,0,0,0,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
Malabar 3,2,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,0,0,0,1,1,1,60
